date,station,lon,lat,nearest1,dist1,climnear1,nearest2,dist2,climnear2,med05,std05,clim05,med1,std1,clim1,med2,std2,clim2
19910901,Oudekraal,1.8346194E1,-3.3984972E1,1.35799935929477E1,5.24329044670026,1.85124934826978E1,1.39099935855717E1,1.36096894498838E1,1.71149935139344E1,1.38699935864657E1,0.588507987357853,1.78787434968632E1,1.45299935717136E1,0.818034414946625,1.87199934780598E1,1.48149935653434E1,1.04265092984321,1.99812434498687E1
19910902,Oudekraal,1.8346194E1,-3.3984972E1,1.34899935949594E1,5.24329044670026,1.85124934826978E1,1.38499935869128E1,1.36096894498838E1,1.71149935139344E1,1.37799935884774E1,0.591769930810855,1.78787434968632E1,1.44899935726077E1,0.826799923895259,1.87199934780598E1,1.48299935650081E1,1.04791536725886,1.99812434498687E1
19910903,Oudekraal,1.8346194E1,-3.3984972E1,1.37399935893715E1,5.24329044670026,1.85124934826978E1,1.41399935804308E1,1.36096894498838E1,1.71149935139344E1,1.39699935842306E1,0.593481803361458,1.78787434968632E1,1.4599993570149E1,0.792882162764548,1.87199934780598E1,1.49399935625494E1,0.996110607460285,1.99812434498687E1
19910904,Oudekraal,1.8346194E1,-3.3984972E1,1.4289993577078E1,5.24329044670026,1.85124934826978E1,1.46799935683608E1,1.36096894498838E1,1.71149935139344E1,1.44799935728312E1,0.490308395386524,1.78787434968632E1,1.4849993564561E1,0.675987958348405,1.87199934780598E1,1.49899935614318E1,0.929015209488802,1.99812434498687E1
19910905,Oudekraal,1.8346194E1,-3.3984972E1,1.46499935690314E1,5.24329044670026,1.85124934826978E1,1.50599935598672E1,1.36096894498838E1,1.71149935139344E1,1.46899935681373E1,0.458974571462874,1.78787434968632E1,1.49099935632199E1,0.641548292536431,1.87199934780598E1,1.50599935598672E1,1.00514349940093,1.99812434498687E1
19910906,Oudekraal,1.8346194E1,-3.3984972E1,1.46499935690314E1,5.24329044670026,1.85124934826978E1,1.50599935598672E1,1.36096894498838E1,1.71149935139344E1,1.46999935679138E1,0.451494914206082,1.78787434968632E1,1.49199935629964E1,0.630517781188591,1.87199934780598E1,1.50699935596436E1,0.977395954271255,1.99812434498687E1
19910907,Oudekraal,1.8346194E1,-3.3984972E1,1.46499935690314E1,5.24329044670026,1.85124934826978E1,1.50599935598672E1,1.36096894498838E1,1.71149935139344E1,1.47199935674668E1,0.44793674147552,1.78787434968632E1,1.49499935623259E1,0.630905105421919,1.87199934780598E1,1.50899935591966E1,0.971708937798541,1.99812434498687E1
19910908,Oudekraal,1.8346194E1,-3.3984972E1,1.38899935860187E1,5.24329044670026,1.85124934826978E1,1.46399935692549E1,1.36096894498838E1,1.71149935139344E1,1.40999935813248E1,0.762638604232923,1.78787434968632E1,1.47799935661257E1,0.885559502131646,1.87199934780598E1,1.48999935634434E1,1.15528509837598,1.99812434498687E1
19910909,Oudekraal,1.8346194E1,-3.3984972E1,1.36499935913831E1,5.24329044670026,1.85124934826978E1,1.43799935750664E1,1.36096894498838E1,1.71149935139344E1,1.40699935819954E1,0.800598716386859,1.78787434968632E1,1.46299935694784E1,0.990632645317579,1.87199934780598E1,1.49299935627729E1,1.18458824010908,1.99812434498687E1
19910910,Oudekraal,1.8346194E1,-3.3984972E1,1.35999935925007E1,5.24329044670026,1.85124934826978E1,1.43299935761839E1,1.36096894498838E1,1.71149935139344E1,1.4019993583113E1,0.80939749446548,1.78787434968632E1,1.46099935699255E1,0.997257534466259,1.87199934780598E1,1.49249935628847E1,1.17065055460211,1.99812434498687E1
19910911,Oudekraal,1.8346194E1,-3.3984972E1,1.43199935764075E1,5.24329044670026,1.85124934826978E1,1.49499935623259E1,1.36096894498838E1,1.71149935139344E1,1.49499935623259E1,0.933802777724383,1.78787434968632E1,1.52999935545027E1,1.08472931747744,1.87199934780598E1,1.52599935553968E1,1.18259679536869,1.99812434498687E1
19910912,Oudekraal,1.8346194E1,-3.3984972E1,1.47299935672432E1,5.24329044670026,1.85124934826978E1,1.544999355115E1,1.36096894498838E1,1.71149935139344E1,1.52999935545027E1,0.959826351733914,1.78787434968632E1,1.55399935491383E1,1.08981171672452,1.87199934780598E1,1.5344993553497E1,1.18696639259962,1.99812434498687E1
19910913,Oudekraal,1.8346194E1,-3.3984972E1,1.47899935659021E1,5.24329044670026,1.85124934826978E1,1.55099935498089E1,1.36096894498838E1,1.71149935139344E1,1.53499935533852E1,0.948541490805181,1.78787434968632E1,1.55899935480207E1,1.07602345646058,1.87199934780598E1,1.53899935524911E1,1.16485691738261,1.99812434498687E1
19910914,Oudekraal,1.8346194E1,-3.3984972E1,1.45399935714901E1,5.24329044670026,1.85124934826978E1,1.52099935565144E1,1.36096894498838E1,1.71149935139344E1,1.52099935565144E1,0.860079822030781,1.78787434968632E1,1.55499935489148E1,0.971634389035185,1.87199934780598E1,1.53849935526029E1,1.06343184335613,1.99812434498687E1
19910915,Oudekraal,1.8346194E1,-3.3984972E1,1.44199935741723E1,5.24329044670026,1.85124934826978E1,1.51199935585261E1,1.36096894498838E1,1.71149935139344E1,1.51199935585261E1,0.869683831164254,1.78787434968632E1,1.55699935484678E1,0.981456316899205,1.87199934780598E1,1.53599935531616E1,1.0579461813239,1.99812434498687E1
19910916,Oudekraal,1.8346194E1,-3.3984972E1,1.44299935739488E1,5.24329044670026,1.85124934826978E1,1.51099935587496E1,1.36096894498838E1,1.71149935139344E1,1.51099935587496E1,0.867995180278297,1.78787434968632E1,1.55999935477972E1,0.982005422983208,1.87199934780598E1,1.53899935524911E1,1.05659158614425,1.99812434498687E1
19910917,Oudekraal,1.8346194E1,-3.3984972E1,1.42399935781956E1,5.24329044670026,1.85124934826978E1,1.48999935634434E1,1.36096894498838E1,1.71149935139344E1,1.48999935634434E1,0.853024013420204,1.78787434968632E1,1.53699935529381E1,0.96632718512733,1.87199934780598E1,1.52599935553968E1,1.06531630116742,1.99812434498687E1
19910918,Oudekraal,1.8346194E1,-3.3984972E1,1.40499935824424E1,5.24329044670026,1.85124934826978E1,1.48199935652316E1,1.36096894498838E1,1.71149935139344E1,1.47699935663492E1,0.945233107082923,1.78787434968632E1,1.54099935520441E1,1.01841921141723,1.87199934780598E1,1.53699935529381E1,0.997392561967999,1.99812434498687E1
19910919,Oudekraal,1.8346194E1,-3.3984972E1,1.39899935837835E1,5.24329044670026,1.85124934826978E1,1.47699935663492E1,1.36096894498838E1,1.71149935139344E1,1.47199935674668E1,0.94429901345101,1.78787434968632E1,1.54099935520441E1,1.02038351307357,1.87199934780598E1,1.53999935522676E1,0.99512930867088,1.99812434498687E1
19910920,Oudekraal,1.8346194E1,-3.3984972E1,1.40099935833365E1,5.24329044670026,1.85124934826978E1,1.48799935638905E1,1.36096894498838E1,1.71149935139344E1,1.47099935676903E1,1.08735716938442,1.78787434968632E1,1.5429993551597E1,1.12655003044492,1.87199934780598E1,1.54949935501442E1,0.976407838880439,1.99812434498687E1
19910921,Oudekraal,1.8346194E1,-3.3984972E1,1.4289993577078E1,5.24329044670026,1.85124934826978E1,1.50899935591966E1,1.36096894498838E1,1.71149935139344E1,1.48299935650081E1,0.996426927718277,1.78787434968632E1,1.544999355115E1,1.09377138197475,1.87199934780598E1,1.56199935473502E1,0.971847527138885,1.99812434498687E1
19910922,Oudekraal,1.8346194E1,-3.3984972E1,1.4309993576631E1,5.24329044670026,1.85124934826978E1,1.50899935591966E1,1.36096894498838E1,1.71149935139344E1,1.48599935643375E1,0.991368896727244,1.78787434968632E1,1.54899935502559E1,1.09296754490006,1.87199934780598E1,1.56499935466796E1,0.975706252141816,1.99812434498687E1
